Comunidades y Ciudades Autónomas,Puntos Bares,Puntos Vida,Puntos hospitales,Puntos viviendas sin internet,Puntos IPC alimentos,Puntos poblacion activa,Puntos precio vivienda,Puntos renta media,Puntos riesgo pobreza,Puntos Taxis,Puntos teletra,Total
"Madrid, Comunidad de",4,19,12,13,10,19,7,19,16,19,19,157
País Vasco,10,16,18,18,9,13,12,17,18,9,15,155
Cataluña,8,12,19,9,14,16,9,14,17,17,18,153
Aragón,7,11,10,11,16,17,5,13,14,16,16,136
Castilla y León,14,17,14,6,15,12,10,9,11,11,9,128
"Navarra, Comunidad Foral de",3,18,15,7,12,15,3,18,19,6,11,127
"Rioja, La",11,10,9,5,6,18,15,10,13,5,13,115
Comunitat Valenciana,15,6,5,10,13,14,8,6,8,12,17,114
"Balears, Illes",19,13,7,1,4,11,11,11,12,18,4,111
Cantabria,13,15,17,12,3,5,6,12,15,8,3,109
Galicia,16,14,11,3,11,9,1,7,10,13,6,101
"Asturias, Principado de",17,8,16,2,8,2,2,8,9,15,10,97
Andalucía,12,3,13,8,7,3,17,2,5,14,12,96
Extremadura,9,4,8,14,17,7,16,1,3,7,8,94
Canarias,18,7,3,16,1,8,4,3,4,10,14,88
"Murcia, Región de",5,5,4,15,18,6,13,5,6,3,7,87
Ceuta,1,1,2,19,19,4,18,15,1,1,1,82
Castilla - La Mancha,6,9,6,4,5,10,14,4,7,4,5,74
Melilla,2,2,1,17,2,1,19,16,2,2,2,66
