Comunidades y Ciudades Autónomas,Taxis,VTC,Poblacion total,total,Taxis por persona
"Madrid, Comunidad de",15209,8866,6779888,24075,281.62
"Balears, Illes",2529,744,1171543,3273,357.94
Cataluña,12147,2977,7780479,15124,514.45
Aragón,2087,197,1329391,2284,582.05
"Asturias, Principado de",1375,122,1018784,1497,680.55
Andalucía,8770,3594,8464411,12364,684.6
Galicia,3450,201,2701819,3651,740.02
Comunitat Valenciana,4699,789,5057353,5488,921.53
Castilla y León,2252,269,2394918,2521,949.99
Canarias,2218,0,2175952,2218,981.04
País Vasco,2029,163,2220504,2192,1013.0
Cantabria,455,115,582905,570,1022.64
Extremadura,857,130,1063987,987,1078.0
"Navarra, Comunidad Foral de",425,97,661197,522,1266.66
"Rioja, La",154,49,319914,203,1575.93
Castilla - La Mancha,1083,207,2045221,1290,1585.44
"Murcia, Región de",748,95,1511251,843,1792.71
Melilla,0,2,87076,2,43538.0
Ceuta,0,1,84202,1,84202.0
